"BoroCT2010","County_name","State_name","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_under_5_ACS_08_12","Pop_5_17_ACS_08_12","Pop_18_24_ACS_08_12","Pop_25_44_ACS_08_12","Pop_45_64_ACS_08_12","Pop_65plus_ACS_08_12","Hispanic_ACS_08_12","NH_White_alone_ACS_08_12","NH_Blk_alone_ACS_08_12","NH_AIAN_alone_ACS_08_12","NH_Asian_alone_ACS_08_12","NH_NHOPI_alone_ACS_08_12","NH_SOR_alone_ACS_08_12","Pop_5yrs_Over_ACS_08_12","Othr_Lang_ACS_08_12","Age5p_Only_English_ACS_08_12","Age5p_Spanish_ACS_08_12","Age5p_French_ACS_08_12","Age5p_FrCreole_ACS_08_12","Age5p_Italian_ACS_08_12","Age5p_Portuguese_ACS_08_12","Age5p_German_ACS_08_12","Age5p_Yiddish_ACS_08_12","Age5p_WGerman_ACS_08_12","Age5p_Scandinavian_ACS_08_12","Age5p_Greek_ACS_08_12","Age5p_Russian_ACS_08_12","Age5p_Polish_ACS_08_12","Age5p_SRBCroatian_ACS_08_12","Age5p_OthSlavic_ACS_08_12","Age5p_Armenian_ACS_08_12","Age5p_Persian_ACS_08_12","Age5p_Gujarati_ACS_08_12","Age5p_Hindi_ACS_08_12","Age5p_Urdu_ACS_08_12","Age5p_OthIndic_ACS_08_12","Age5p_OthEuro_ACS_08_12","Age5p_Chinese_ACS_08_12","Age5p_Japanese_ACS_08_12","Age5p_Korean_ACS_08_12","Age5p_Cambodian_ACS_08_12","Age5p_Hmong_ACS_08_12","Age5p_Thai_ACS_08_12","Age5p_Laotian_ACS_08_12","Age5p_Vietnamese_ACS_08_12","Age5p_OthAsian_ACS_08_12","Age5p_Tagalog_ACS_08_12","Age5p_OthPacIsl_ACS_08_12","Age5p_Navajo_ACS_08_12","Age5p_NativeNAm_ACS_08_12","Age5p_Hungarian_ACS_08_12","Age5p_Arabic_ACS_08_12","Age5p_Hebrew_ACS_08_12","Age5p_African_ACS_08_12","Age5p_OthUnSp_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Pov_Univ_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12","Civ_labor_16plus_ACS_08_12","Civ_emp_16plus_ACS_08_12","Civ_unemp_16plus_ACS_08_12","Civ_labor_16_24_ACS_08_12","Civ_emp_16_24_ACS_08_12","Civ_unemp_16_24_ACS_08_12","Civ_labor_25_44_ACS_08_12","Civ_emp_25_44_ACS_08_12","Civ_unemp_25_44_ACS_08_12","Civ_labor_45_64_ACS_08_12","Civ_emp_45_64_ACS_08_12","Civ_unemp_45_64_ACS_08_12","Civ_labor_65plus_ACS_08_12","Civ_emp_65plus_ACS_08_12","Civ_unemp_65plus_ACS_08_12","Pop_1yr_Over_ACS_08_12","Diff_HU_1yr_Ago_ACS_08_12","Born_US_ACS_08_12","Born_foreign_ACS_08_12","US_Cit_Nat_ACS_08_12","NON_US_Cit_ACS_08_12","ENG_VW_SPAN_ACS_08_12","ENG_VW_INDO_EURO_ACS_08_12","ENG_VW_API_ACS_08_12","ENG_VW_OTHER_ACS_08_12","ENG_VW_ACS_08_12","Rel_Family_HHD_ACS_08_12","MrdCple_Fmly_HHD_ACS_08_12","Not_MrdCple_HHD_ACS_08_12","Female_No_HB_ACS_08_12","NonFamily_HHD_ACS_08_12","Sngl_Prns_HHD_ACS_08_12","HHD_PPL_Und_18_ACS_08_12","Tot_Prns_in_HHD_ACS_08_12","Rel_Child_Under_6_ACS_08_12","HHD_Moved_in_ACS_08_12","PUB_ASST_INC_ACS_08_12","Med_HHD_Inc_ACS_08_12","Aggregate_HH_INC_ACS_08_12","Tot_Housing_Units_ACS_08_12","Tot_Occp_Units_ACS_08_12","Tot_Vacant_Units_ACS_08_12","Renter_Occp_HU_ACS_08_12","Owner_Occp_HU_ACS_08_12","Single_Unit_ACS_08_12","MLT_U2_9_STRC_ACS_08_12","MLT_U10p_ACS_08_12","Mobile_Homes_ACS_08_12","Crowd_Occp_U_ACS_08_12","Occp_U_NO_PH_SRVC_ACS_08_12","No_Plumb_ACS_08_12","Recent_Built_HU_ACS_08_12","Med_House_value_ACS_08_12","Aggr_House_Value_ACS_08_12","Low_Response_Score","avg_Tot_Prns_in_HHD_ACS_08_12"
"2000100","Bronx County","New York",9741,8821,920,0,595,2931,4555,1604,56,3304,651,5484,0,202,0,8,9741,3379,6362,2676,5,46,6,13,0,0,0,0,0,45,46,0,0,0,0,0,0,0,32,7,49,0,33,0,0,16,0,0,0,0,0,0,0,0,20,0,22,0,6215,4285,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9741,8098,8196,1545,386,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","",NA,NA
"2000200","Bronx County","New York",4734,2310,2424,341,820,777,1286,1046,464,3117,25,1237,0,274,0,81,4393,2626,1767,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,569,560,4707,846,2430,2200,230,493,372,121,1050,993,57,823,771,52,64,64,0,4659,268,3523,1211,802,409,148,0,0,0,148,1014,534,769,257,289,241,571,4727,335,88,18,"$71,250","$98,114,300",1460,1303,157,478,825,786,657,17,0,192,11,30,0,"$422,200","$335,062,400",29.57558474,3.6277820414
"2000400","Bronx County","New York",5211,2633,2578,327,887,491,1751,1343,412,3465,137,1339,0,101,0,133,4884,2936,1948,712,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,593,978,5203,420,2900,2744,156,332,221,111,1469,1441,28,1039,1022,17,60,60,0,5144,540,3992,1219,773,446,226,0,0,0,226,1402,569,1113,563,280,183,728,5198,257,154,27,"$75,833","$150,599,600",1849,1682,167,484,1198,1139,674,23,13,46,9,0,0,"$355,300","$427,825,800",28.764991804,3.0903686088
"2001600","Bronx County","New York",5127,2332,2795,364,897,485,1254,1327,800,3343,92,1665,0,0,0,0,4763,2886,1877,1003,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,3381,1024,433,4880,861,2088,2007,81,169,169,0,1038,986,52,823,794,29,58,58,0,5067,459,3690,1437,849,588,239,0,0,21,260,1351,597,1343,674,589,578,744,4866,286,136,60,"$32,328","$90,170,000",2063,1940,123,1527,413,377,424,1262,0,102,33,43,27,"$413,800","$176,573,000",31.749156458,2.5082474227
"2001900","Bronx County","New York",2420,1363,1057,196,453,322,873,449,127,1431,304,623,0,26,0,0,2224,1294,930,762,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1449,422,190,2374,1105,1021,856,165,155,112,43,678,611,67,183,128,55,5,5,0,2368,499,1720,700,158,542,209,11,0,13,233,458,212,533,169,287,221,297,2088,137,143,96,"$29,491","$30,989,400",805,745,60,686,59,147,380,278,0,191,0,0,73,"$335,500","$16,439,000",35.622279293,2.8026845638
"2002000","Bronx County","New York",8523,3650,4873,294,2123,1020,1926,2264,896,5583,60,2615,0,128,0,0,8229,4475,3754,1246,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086,1948,640,8485,3191,3171,2829,342,305,208,97,1237,1166,71,1533,1359,174,96,96,0,8506,1458,6808,1715,862,853,403,0,0,0,403,2112,485,2524,1382,897,882,1350,8517,327,299,324,"$22,706","$114,885,500",3162,3009,153,2599,410,510,469,2183,0,93,86,43,0,"$388,100","$160,066,000",34.303277803,2.8305084746
"2002300","Bronx County","New York",4779,1826,2953,388,923,538,1016,1203,711,3467,97,1215,0,0,0,0,4391,2961,1430,1731,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,1513,127,4777,2519,1508,1297,211,363,316,47,716,633,83,386,305,81,43,43,0,4750,402,3866,913,390,523,740,0,0,0,740,1084,233,1687,752,836,796,736,4774,334,100,247,"$13,556","$44,319,200",1991,1920,71,1912,8,8,45,1938,0,152,166,0,0,"","",36.776614243,2.4864583333
"2002400","Bronx County","New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","",43.696964739,NA
"2002500","Bronx County","New York",4785,2300,2485,392,1060,537,1479,873,444,3773,129,760,16,107,0,0,4393,3259,1134,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,34,0,0,0,0,0,89,0,14,0,2796,1385,102,4773,2455,1784,1496,288,269,168,101,1089,949,140,406,359,47,20,20,0,4739,530,3157,1628,450,1178,764,0,12,60,836,1121,330,1496,648,705,608,795,4785,332,145,193,"$14,776","$45,243,000",2083,1826,257,1785,41,75,370,1626,0,154,55,19,35,"$440,900","$13,400,000",38.710065915,2.6204819277
"2002701","Bronx County","New York",3100,1487,1613,230,679,384,804,682,321,1866,0,1234,0,0,0,0,2870,1557,1313,792,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,1807,776,244,3100,1371,1288,1049,239,233,138,95,625,535,90,415,376,39,15,0,15,3080,218,2526,574,147,427,268,21,0,13,302,820,228,826,525,234,165,499,3100,223,33,153,"$26,272","$39,996,000",1105,1054,51,1054,0,0,36,1069,0,55,12,0,0,"","",39.876298648,2.9411764706
