"Poll","Clinton","Trump","Johnson","Stein","Date_Start","Date_End","Size","Sample_Type"
"ABC News Tracking",48,44,4,1,2016-10-23,2016-10-26,1109,"LV"
"Rasmussen Reports",45,45,3,2,2016-10-25,2016-10-27,1500,"LV"
"Gravis",46,45,3,1,2016-10-25,2016-10-26,1824,"RV"
"IBD/TIPP Tracking",44,41,7,2,2016-10-22,2016-10-27,973,"LV"
"Economist/YouGov",46,41,4,2,2016-10-22,2016-10-26,1209,"LV"
"FOX News",44,41,7,3,2016-10-22,2016-10-25,1221,"LV"
"IBD/TIPP Tracking",43,41,8,2,2016-10-21,2016-10-26,945,"LV"
"Rasmussen Reports",44,43,4,1,2016-10-23,2016-10-25,1500,"LV"
"ABC News Tracking",49,40,5,2,2016-10-21,2016-10-24,1119,"LV"
"Pew Research",46,40,6,3,2016-10-20,2016-10-25,2120,"RV"
"Reuters/Ipsos",42,38,7,2,2016-10-20,2016-10-24,1170,"LV"
"USA Today/Suffolk",47,38,4,2,2016-10-20,2016-10-24,1000,"LV"
"IBD/TIPP Tracking",42,41,8,3,2016-10-20,2016-10-25,921,"LV"
"Rasmussen Reports",43,42,5,2,2016-10-20,2016-10-24,1500,"LV"
"Associated Press-GfK",51,37,6,2,2016-10-20,2016-10-24,1212,"LV"
"ABC News Tracking",50,38,5,2,2016-10-20,2016-10-23,611,"LV"
"IBD/TIPP Tracking",42,41,8,3,2016-10-19,2016-10-24,815,"LV"
"CNN/ORC",49,44,3,2,2016-10-20,2016-10-23,779,"LV"
"NBC News/SM",46,41,7,3,2016-10-17,2016-10-23,32225,"LV"
"Quinnipiac",47,40,7,1,2016-10-17,2016-10-18,1007,"LV"
"Economist/YouGov",42,38,6,1,2016-10-15,2016-10-18,925,"RV"
"FOX News",45,39,5,3,2016-10-15,2016-10-17,912,"LV"
"Bloomberg",47,38,8,3,2016-10-14,2016-10-17,1006,"LV"
"Reuters/Ipsos",42,38,6,2,2016-10-13,2016-10-17,1190,"LV"
"Monmouth",50,38,5,2,2016-10-14,2016-10-16,726,"LV"
"CBS News",47,38,8,3,2016-10-12,2016-10-16,1189,"LV"
"NBC News/SM",46,40,8,4,2016-10-10,2016-10-16,24804,"LV"
"Boston Globe",46,36,5,2,2016-10-11,2016-10-14,845,"LV"
"Rasmussen Reports",41,43,6,2,2016-10-11,2016-10-13,1500,"LV"
"ABC News/Wash Post",47,43,5,2,2016-10-10,2016-10-13,740,"LV"
"NBC News/Wall St. Jrnl",48,37,7,2,2016-10-10,2016-10-13,905,"LV"
"FOX News",45,38,7,3,2016-10-10,2016-10-12,917,"LV"
"GWU/Battleground",47,39,8,2,2016-10-08,2016-10-13,1000,"LV"
"NBC News/Wall St. Jrnl",46,37,8,2,2016-10-08,2016-10-10,806,"LV"
"Reuters/Ipsos",44,37,6,2,2016-10-06,2016-10-10,2363,"LV"
"NBC News/Wall St. Jrnl",46,35,9,2,2016-10-08,2016-10-09,447,"LV"
"Rasmussen Reports",44,39,7,2,2016-10-06,2016-10-10,1500,"LV"
"Economist/YouGov",44,38,5,1,2016-10-07,2016-10-08,971,"RV"
"Quinnipiac",45,40,6,3,2016-10-05,2016-10-06,1064,"LV"
"NBC News/SM",46,41,8,3,2016-10-03,2016-10-09,23329,"LV"
"FOX News",44,42,6,2,2016-10-03,2016-10-06,896,"LV"
"Rasmussen Reports",41,42,8,2,2016-10-02,2016-10-04,1500,"LV"
"Gravis",44,44,5,1,2016-10-03,2016-10-03,1690,"RV"
"Economist/YouGov",43,40,5,3,2016-10-01,2016-10-03,911,"RV"
"Reuters/Ipsos",42,36,8,2,2016-09-29,2016-10-03,1239,"LV"
"CNN/ORC",47,42,7,2,2016-09-28,2016-10-02,1213,"LV"
"Rasmussen Reports",43,40,8,2,2016-09-28,2016-10-02,1500,"LV"
"CBS News",45,41,8,3,2016-09-28,2016-10-02,1217,"LV"
"FOX News",43,40,8,4,2016-09-27,2016-09-29,911,"LV"
"NBC News/SM",46,40,9,3,2016-09-26,2016-10-02,26925,"LV"
"Rasmussen Reports",43,42,6,2,2016-09-27,2016-09-29,1500,"LV"
"PPP (D)",44,40,6,1,2016-09-27,2016-09-28,933,"LV"
"Rasmussen Reports",42,41,7,2,2016-09-26,2016-09-28,1500,"LV"
"Reuters/Ipsos",42,38,7,2,2016-09-22,2016-09-26,1041,"LV"
"Quinnipiac",44,43,8,2,2016-09-22,2016-09-25,1115,"LV"
"Bloomberg",41,43,8,4,2016-09-21,2016-09-24,1002,"LV"
"Monmouth",46,42,8,2,2016-09-22,2016-09-25,729,"LV"
"Economist/YouGov",44,41,5,2,2016-09-22,2016-09-24,948,"RV"
"NBC News/SM",45,40,10,3,2016-09-19,2016-09-25,13598,"LV"
"ABC News/Wash Post",46,44,5,1,2016-09-19,2016-09-22,651,"LV"
"Rasmussen Reports",39,44,8,2,2016-09-20,2016-09-21,1000,"LV"
"Gravis",44,40,5,2,2016-09-20,2016-09-20,1560,"LV"
"Economist/YouGov",40,38,7,2,2016-09-18,2016-09-19,936,"RV"
"Reuters/Ipsos",37,39,7,2,2016-09-15,2016-09-19,1111,"LV"
"McClatchy/Marist",45,39,10,4,2016-09-15,2016-09-20,758,"LV"
"NBC News/Wall St. Jrnl",43,37,9,2,2016-09-16,2016-09-19,922,"LV"
"Associated Press-GfK",45,39,9,2,2016-09-15,2016-09-16,1251,"LV"
"NBC News/SM",45,40,10,4,2016-09-12,2016-09-18,13320,"LV"
"FOX News",41,40,8,3,2016-09-11,2016-09-14,867,"LV"
"Rasmussen Reports",40,42,7,2,2016-09-12,2016-09-13,1000,"LV"
"CBS News/NY Times",42,42,8,4,2016-09-09,2016-09-13,1433,"LV"
"Economist/YouGov",42,40,5,3,2016-09-10,2016-09-13,926,"RV"
"Quinnipiac",41,39,13,4,2016-09-08,2016-09-13,960,"LV"
"Reuters/Ipsos",39,39,8,2,2016-09-08,2016-09-12,1127,"LV"
"NBC News/SM",42,40,11,4,2016-09-05,2016-09-11,16220,"RV"
"Gravis",43,40,7,1,2016-09-07,2016-09-08,2348,"LV"
"ABC News/Wash Post",46,41,9,2,2016-09-05,2016-09-08,642,"LV"
"Rasmussen Reports",43,39,9,2,2016-09-06,2016-09-07,1000,"LV"
"Economist/YouGov",40,38,7,5,2016-09-04,2016-09-06,955,"RV"
"Reuters/Ipsos",40,38,8,3,2016-09-01,2016-09-05,1084,"LV"
"CNN/ORC",43,45,7,2,2016-09-01,2016-09-04,786,"LV"
"NBC News/SM",41,37,12,4,2016-08-29,2016-09-04,32226,"RV"
"GWU/Battleground",42,40,11,3,2016-08-28,2016-09-01,1000,"LV"
"IBD/TIPP",39,39,12,3,2016-08-26,2016-09-01,861,"LV"
"FOX News",41,39,9,4,2016-08-28,2016-08-30,1011,"RV"
"Rasmussen Reports",39,40,7,3,2016-08-29,2016-08-30,1000,"LV"
"PPP (D)",42,37,6,4,2016-08-26,2016-08-28,881,"LV"
