time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-20T10:45:02.680Z,38.824501,-122.8014984,2.71,3.37,ml,63,41,0.006789,0.07,nc,nc72714841,2016-10-21T03:37:03.960Z,"6km W of Cobb, California",earthquake,0.13,0.22,0.202,14,automatic,nc,nc
2016-10-18T22:09:07.690Z,36.713,-121.3113333,7.59,3.55,mw,68,41,0.0556,0.13,nc,nc72714296,2016-10-21T11:04:18.422Z,"12km SSE of Ridgemark, California",earthquake,0.15,0.45,,5,reviewed,nc,nc
2016-10-01T07:53:29.350Z,36.2435,-120.36,10.79,3.52,mw,69,85,0.01507,0.08,nc,nc72705776,2016-10-07T03:40:34.435Z,"11km N of Coalinga, California",earthquake,0.23,0.38,,3,reviewed,nc,nc
2016-09-28T15:26:51.370Z,37.3363333,-121.6953333,8.13,3.25,mw,150,40,0.04239,0.11,nc,nc72703906,2016-10-12T22:54:40.621Z,"11km ESE of East Foothills, California",earthquake,0.1,0.18,,4,reviewed,nc,nc
2016-09-18T14:35:26.750Z,37.5951667,-119.363,2.62,3.12,ml,13,261,0.228,0.08,nc,nc71016287,2016-10-05T19:49:57.040Z,"24km SE of Yosemite Valley, California",earthquake,0.93,2.55,0.138,19,reviewed,nc,nc
2016-09-18T14:35:09.710Z,37.6316667,-119.4205,-1.86,3.26,ml,74,40,0.2706,0.12,nc,nc72698536,2016-10-12T15:50:49.040Z,"18km SE of Yosemite Valley, California",earthquake,0.2,2.73,0.123,25,reviewed,nc,nc
2016-09-17T09:41:52.780Z,36.0536667,-120.0905,17.65,3.19,ml,105,60,0.2316,0.16,nc,nc72697686,2016-10-21T05:29:02.040Z,"6km NNE of Avenal, California",earthquake,0.19,0.29,0.107,25,reviewed,nc,nc
2016-09-13T07:50:22.080Z,37.8046667,-122.1975,4.02,3.54,mw,236,12,0.01025,0.14,nc,nc72694726,2016-10-05T05:57:40.875Z,"3km SE of Piedmont, California",earthquake,0.08,0.13,,5,reviewed,nc,nc
2016-08-16T22:05:28.530Z,36.6943333,-121.3271667,3.62,3.19,mw,74,29,0.05146,0.07,nc,nc72678441,2016-09-21T23:53:36.040Z,"13km SSE of Ridgemark, California",earthquake,0.11,0.43,,4,reviewed,nc,nc
2016-08-16T21:54:28.690Z,36.6945,-121.3365,4.45,3.07,ml,56,49,0.0853,0.14,nc,nc72678436,2016-09-21T23:33:11.040Z,"13km SSE of Ridgemark, California",earthquake,0.21,0.83,0.154,27,reviewed,nc,nc
